trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,14,-7.250765657224542,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.99}",20,0,-73.80039481670448,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9801}",20,0,-96.92341949133005,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.970299}",20,0,-88.50156099097156,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.96059601}",25,0,-134.45886616393904,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9509900498999999}",25,0,-87.59921814449578,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.941480149401}",25,0,-180.93570349324153,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9320653479069899}",25,0,-86.38019553286897,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9227446944279201}",30,0,-115.34764350858836,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9135172474836408}",20,0,-164.2614458269839,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.6, 'e': 0.9043820750088044}",25,4,-118.45045880330335,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 2}",1
12,False,"{'a': 0.6, 'e': 0.8953382542587164}",20,0,-140.2828713664334,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.8863848717161292}",20,0,-93.32157129765542,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-123.86985376087148,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.8687458127689782}",25,0,-84.0455697771365,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8600583546412884}",20,0,-68.71295581771618,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8514577710948755}",25,0,-117.31057029041601,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.8429431933839268}",30,0,-207.01572342916657,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.6, 'e': 0.8345137614500875}",20,0,-79.91270336123232,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8261686238355866}",20,5,-125.03312514815961,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
21,False,"{'a': 0.6, 'e': 0.8179069375972308}",25,0,-36.490471682322095,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.8097278682212584}",20,0,-54.83293018576758,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.8016305895390459}",20,0,-0.37409506480819377,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.6, 'e': 0.7936142836436554}",20,0,-61.790480864209194,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
25,False,"{'a': 0.6, 'e': 0.7856781408072188}",20,14,-3.4503427095281722,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.6, 'e': 0.7778213593991467}",30,0,-109.0096777400984,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.7700431458051551}",30,0,-115.22594356999113,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.7623427143471035}",30,0,-57.342777400877694,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.7547192872036326}",20,0,-80.76372316279152,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.7471720943315961}",25,0,-169.2240846475724,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
31,False,"{'a': 0.6, 'e': 0.7397003733882802}",20,0,-92.75897274497385,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
