trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.45}",20,0,-117.93488871452051,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.4}",25,0,-97.49248925731052,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.35000000000000003}",25,0,-145.63867555461687,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.30000000000000004}",30,0,-124.98758335199325,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.25000000000000006}",20,13,1.0029254699573633,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.20000000000000007}",25,0,-118.46149041663324,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.15000000000000008}",20,3,-114.84154403449247,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.10000000000000007}",20,0,-83.13020303901544,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.05000000000000007}",25,0,-138.45777797535752,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 6.938893903907228e-17}",25,0,-160.2917355222532,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': -0.04999999999999993}",20,0,-131.2869265367007,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': -0.09999999999999994}",20,0,-149.50563292472245,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': -0.14999999999999994}",20,0,-70.91236933298404,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': -0.19999999999999996}",30,4,-240.01229737236676,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 4}",1
15,False,"{'a': 0.5, 'e': -0.24999999999999994}",30,21,-4.367644507007023,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': -0.29999999999999993}",20,0,-133.79707436432807,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.3499999999999999}",25,0,-155.9365671986913,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': -0.3999999999999999}",20,0,-147.71267044369017,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': -0.4499999999999999}",30,0,-186.0186311831546,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -0.4999999999999999}",20,0,-66.57112756647838,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-126.37815532971759,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",35,0,-144.0794746678382,"{0: 24, 1: 0, 2: 9, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-34.55785437814789,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-160.30869125141217,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-158.587786363027,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-112.93239709860325,"{0: 25, 1: 0, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-80.18399047953139,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-55.82874299741083,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-140.45130360906614,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-53.0477693871701,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
